"""ID""","""Name""","""Desc""","""Value1""","""Value2""","""Value3"""
2000,login,,Press Any Key To Start,任意键开始,任意鍵開始
2001,playerdata,moneylack,{0} is no enough,{0}不足,{0}不足
2002,ui,,START,开始,開始
2003,ui,,OK,确定,確定
2004,ui,,UPGRADE,升级,升級
2005,ui,,BUY,购买,購買
2006,ui,,EQUIP,装备,裝備
2007,ui,,COMBINE,合成,合成
2008,ui,,EQUIPED,已装备,已裝備
2009,ui,,MAX LEVEL,最高级,最高級
2010,ui,,ADD,添加,添加
2011,ui,,CANCEL,取消,取消
2012,ui,,BASE,基础,基礎
2013,ui,,FIRST,首次,首次
2020,ui,,Revive？,复活？,復活？
2021,ui,,Revive,复活,復活
2022,ui,,Back,返回,返回
2023,ui,,Charge sucess! Got {0} diamond.,充值成功！得到{0}钻石。,充值成功！得到{0}鑽石。
2024,ui,,"Insufficient resources, buy it?",资源不足，是否购买？,資源不足，是否購買？
2025,ui,,ENEMIES,敌人,敵人
2026,ui,,YOU GOT A NEW ITEM,获得新道具,獲得新道具
2027,ui,,TRY TO LEVEL ITEM,尝试升级道具,嘗試升級道具
2100,ui,,Buy Elementary 1,购买1次初级,購買1次初級
2101,ui,,Buy Elementary 5,购买5次初级,購買5次初級
2102,ui,,Buy Advanced 1,购买1次高级,購買1次高級
2103,ui,,Buy Advanced 5,购买5次高级,購買5次高級
2104,ui,,get level 1~2 gem,获得1～2级,獲得1～2級
2105,ui,,get level 1~2 gem,获得1～2级,獲得1～2級
2106,ui,,get level 2~3 gem,获得2～3级,獲得2～3級
2107,ui,,get level 2~3 gem,获得2～3级,獲得2～3級
11000,stage,starCondition,Pass Stage,通关,通關
11001,stage,starCondition,Finish stage in {0} round,{0}回合内通关,{0}回合內通關
11002,stage,starCondition,Remain {0}% HP and pass stage,剩余{0}%HP通关,剩餘{0}%HP通關
11003,stage,starCondition,act {0} bombs,激活{0}颗特殊果,激活{0}顆特殊果
11004,stage,starCondition,elimite {0} traps,消除{0}个陷阱,消除{0}個陷阱
20001,Weapon,weaponSkill,BombNormal,炸弹,炸彈
20002,Weapon,weaponSkill,LineNormal,飞弹,飛彈
20003,Weapon,weaponSkill,BombEnlarge,破片,破片
20004,Weapon,weaponSkill,LineEnlarge,瞄准,瞄準
20005,Weapon,weaponSkill,BombHitTrap,轰击,轟擊
20006,Weapon,weaponSkill,LineHitTrap,穿透,穿透
20007,Weapon,weaponSkill,BombReact,循环,循環
20008,Weapon,weaponSkill,LineReact,留声,留聲
20009,Weapon,weaponSkill,BombLighting,扩散,擴散
20010,Weapon,weaponSkill,LineLighting,回声,迴聲
20011,Weapon,weaponSkill,BombAuto,引信,引信
